url,place,filename,param,model,scenario,gn,st_date,end_date,file_path
http://esgf-data03.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/hurs/gn/v20190603/hurs_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc,wget-20230513204002.sh,hurs_day_MRI-ESM2-0_historical_r1i1p1f1_gn_19500101-19991231.nc,hurs,MRI-ESM2-0,historical,gn,19500101,19991231,
http://esgf-data03.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MRI/MRI-ESM2-0/historical/r1i1p1f1/day/hurs/gn/v20190603/hurs_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc,wget-20230513204002.sh,hurs_day_MRI-ESM2-0_historical_r1i1p1f1_gn_20000101-20141231.nc,hurs,MRI-ESM2-0,historical,gn,20000101,20141231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,pr,CESM2,historical,gn,19600101,19691231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,pr,CESM2,historical,gn,19700101,19791231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,pr,CESM2,historical,gn,19800101,19891231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,pr,CESM2,historical,gn,19900101,19991231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,pr,CESM2,historical,gn,20000101,20091231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/pr/gn/v20190401/pr_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,wget-20230513204007.sh,pr_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,pr,CESM2,historical,gn,20100101,20150101,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,hurs,CESM2,historical,gn,19500101,19591231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,hurs,CESM2,historical,gn,19600101,19691231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,hurs,CESM2,historical,gn,19700101,19791231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,hurs,CESM2,historical,gn,19800101,19891231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,hurs,CESM2,historical,gn,19900101,19991231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,hurs,CESM2,historical,gn,20000101,20091231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/hurs/gn/v20190308/hurs_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,wget-20230513204012.sh,hurs_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,hurs,CESM2,historical,gn,20100101,20150101,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,huss,CESM2,historical,gn,19500101,19591231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,huss,CESM2,historical,gn,19600101,19691231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,huss,CESM2,historical,gn,19700101,19791231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,huss,CESM2,historical,gn,19800101,19891231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,huss,CESM2,historical,gn,19900101,19991231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_20000101-20091231.nc,huss,CESM2,historical,gn,20000101,20091231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/huss/gn/v20190308/huss_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,wget-20230513204017.sh,huss_day_CESM2_historical_r1i1p1f1_gn_20100101-20150101.nc,huss,CESM2,historical,gn,20100101,20150101,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,wget-20230513204022.sh,tas_day_CESM2_historical_r1i1p1f1_gn_19500101-19591231.nc,tas,CESM2,historical,gn,19500101,19591231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,wget-20230513204022.sh,tas_day_CESM2_historical_r1i1p1f1_gn_19600101-19691231.nc,tas,CESM2,historical,gn,19600101,19691231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,wget-20230513204022.sh,tas_day_CESM2_historical_r1i1p1f1_gn_19700101-19791231.nc,tas,CESM2,historical,gn,19700101,19791231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,wget-20230513204022.sh,tas_day_CESM2_historical_r1i1p1f1_gn_19800101-19891231.nc,tas,CESM2,historical,gn,19800101,19891231,
http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NCAR/CESM2/historical/r1i1p1f1/day/tas/gn/v20190308/tas_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,wget-20230513204022.sh,tas_day_CESM2_historical_r1i1p1f1_gn_19900101-19991231.nc,tas,CESM2,historical,gn,19900101,19991231,
